COMMAND 1: node iter_189/poc_router_owned_wallet_residual_debit.test.js
cross_file_anchors 19
forged_A_notification_reaches_sorted_pair true
real_B_notification_requires_B_wallet_credit true
fake_A_leg 1000000000000
attacker_funded_B_leg 1000000
router_B_baseline 1000000
router_B_after_burn 1000002
observed_B_payout_bound 999998
residual_not_drained true
result PASS

COMMAND 2 (source repo cwd): node -r ts-node/register /Users/homanyeungmac/bounty-hunt-work/gpt-hackenproof/ston-dot-fi-dex-smart-contracts-v2-flash-wt/blind-test-vps/ston-dot-fi-dex-smart-contracts-v2-flash/iter_189/poc_router_owned_wallet_residual_debit.integration.js
B_notification_router_to_fake_pair true
router_wallet_baseline 1000000
router_wallet_after_burn 1000002
attacker_funded_B_leg 1000000
fake_A_leg 1000000000000
lp_minted 999998999
victim_router_wallet_debit 999998
attacker_B_wallet_credit 999998
residual_not_drained true
result PASS

Interpretation: the forged A notification reaches the sorted fake pair and LP mint completes, but the only B output is exactly bounded by the real B notification's wallet credit. The preloaded Router B residual remains intact.
